4C:F9:5D:xx:xx:xx	4C-F9-5D-xx-xx-xx	4CF9.5Dxx.xxxx
4C:FB:45:xx:xx:xx	4C-FB-45-xx-xx-xx	4CFB.45xx.xxxx
50:01:6B:xx:xx:xx	50-01-6B-xx-xx-xx	5001.6Bxx.xxxx
50:01:D9:xx:xx:xx	50-01-D9-xx-xx-xx	5001.D9xx.xxxx
50:04:B8:xx:xx:xx	50-04-B8-xx-xx-xx	5004.B8xx.xxxx
50:1D:93:xx:xx:xx	50-1D-93-xx-xx-xx	501D.93xx.xxxx
50:5D:AC:xx:xx:xx	50-5D-AC-xx-xx-xx	505D.ACxx.xxxx
50:68:0A:xx:xx:xx	50-68-0A-xx-xx-xx	5068.0Axx.xxxx
50:6F:77:xx:xx:xx	50-6F-77-xx-xx-xx	506F.77xx.xxxx
50:9F:27:xx:xx:xx	50-9F-27-xx-xx-xx	509F.27xx.xxxx
50:A7:2B:xx:xx:xx	50-A7-2B-xx-xx-xx	50A7.2Bxx.xxxx
54:25:EA:xx:xx:xx	54-25-EA-xx-xx-xx	5425.EAxx.xxxx
54:39:DF:xx:xx:xx	54-39-DF-xx-xx-xx	5439.DFxx.xxxx
54:51:1B:xx:xx:xx	54-51-1B-xx-xx-xx	5451.1Bxx.xxxx
54:89:98:xx:xx:xx	54-89-98-xx-xx-xx	5489.98xx.xxxx
54:A5:1B:xx:xx:xx	54-A5-1B-xx-xx-xx	54A5.1Bxx.xxxx
54:B1:21:xx:xx:xx	54-B1-21-xx-xx-xx	54B1.21xx.xxxx
58:1F:28:xx:xx:xx	58-1F-28-xx-xx-xx	581F.28xx.xxxx
58:2A:F7:xx:xx:xx	58-2A-F7-xx-xx-xx	582A.F7xx.xxxx
58:60:5F:xx:xx:xx	58-60-5F-xx-xx-xx	5860.5Fxx.xxxx
58:7F:66:xx:xx:xx	58-7F-66-xx-xx-xx	587F.66xx.xxxx
58:BA:D4:xx:xx:xx	58-BA-D4-xx-xx-xx	58BA.D4xx.xxxx
58:D7:59:xx:xx:xx	58-D7-59-xx-xx-xx	58D7.59xx.xxxx
58:F9:87:xx:xx:xx	58-F9-87-xx-xx-xx	58F9.87xx.xxxx
5C:03:39:xx:xx:xx	5C-03-39-xx-xx-xx	5C03.39xx.xxxx
5C:09:79:xx:xx:xx	5C-09-79-xx-xx-xx	5C09.79xx.xxxx
5C:4C:A9:xx:xx:xx	5C-4C-A9-xx-xx-xx	5C4C.A9xx.xxxx
5C:54:6D:xx:xx:xx	5C-54-6D-xx-xx-xx	5C54.6Dxx.xxxx
5C:7D:5E:xx:xx:xx	5C-7D-5E-xx-xx-xx	5C7D.5Exx.xxxx
5C:A8:6A:xx:xx:xx	5C-A8-6A-xx-xx-xx	5CA8.6Axx.xxxx
5C:B3:95:xx:xx:xx	5C-B3-95-xx-xx-xx	5CB3.95xx.xxxx
5C:B4:3E:xx:xx:xx	5C-B4-3E-xx-xx-xx	5CB4.3Exx.xxxx
5C:C3:07:xx:xx:xx	5C-C3-07-xx-xx-xx	5CC3.07xx.xxxx
5C:F9:6A:xx:xx:xx	5C-F9-6A-xx-xx-xx	5CF9.6Axx.xxxx
60:08:10:xx:xx:xx	60-08-10-xx-xx-xx	6008.10xx.xxxx
60:2E:20:xx:xx:xx	60-2E-20-xx-xx-xx	602E.20xx.xxxx
60:83:34:xx:xx:xx	60-83-34-xx-xx-xx	6083.34xx.xxxx
60:DE:44:xx:xx:xx	60-DE-44-xx-xx-xx	60DE.44xx.xxxx
60:DE:F3:xx:xx:xx	60-DE-F3-xx-xx-xx	60DE.F3xx.xxxx
60:E7:01:xx:xx:xx	60-E7-01-xx-xx-xx	60E7.01xx.xxxx
60:F1:8A:xx:xx:xx	60-F1-8A-xx-xx-xx	60F1.8Axx.xxxx
60:FA:9D:xx:xx:xx	60-FA-9D-xx-xx-xx	60FA.9Dxx.xxxx
64:16:F0:xx:xx:xx	64-16-F0-xx-xx-xx	6416.F0xx.xxxx
64:3E:8C:xx:xx:xx	64-3E-8C-xx-xx-xx	643E.8Cxx.xxxx
64:6D:6C:xx:xx:xx	64-6D-6C-xx-xx-xx	646D.6Cxx.xxxx
64:A6:51:xx:xx:xx	64-A6-51-xx-xx-xx	64A6.51xx.xxxx
64:F8:1C:xx:xx:xx	64-F8-1C-xx-xx-xx	64F8.1Cxx.xxxx
68:89:C1:xx:xx:xx	68-89-C1-xx-xx-xx	6889.C1xx.xxxx
68:8F:84:xx:xx:xx	68-8F-84-xx-xx-xx	688F.84xx.xxxx
68:A0:3E:xx:xx:xx	68-A0-3E-xx-xx-xx	68A0.3Exx.xxxx
68:A0:F6:xx:xx:xx	68-A0-F6-xx-xx-xx	68A0.F6xx.xxxx
68:A8:28:xx:xx:xx	68-A8-28-xx-xx-xx	68A8.28xx.xxxx
68:CC:6E:xx:xx:xx	68-CC-6E-xx-xx-xx	68CC.6Exx.xxxx
6C:B7:49:xx:xx:xx	6C-B7-49-xx-xx-xx	6CB7.49xx.xxxx
70:19:2F:xx:xx:xx	70-19-2F-xx-xx-xx	7019.2Fxx.xxxx
70:54:F5:xx:xx:xx	70-54-F5-xx-xx-xx	7054.F5xx.xxxx
70:72:3C:xx:xx:xx	70-72-3C-xx-xx-xx	7072.3Cxx.xxxx
70:79:90:xx:xx:xx	70-79-90-xx-xx-xx	7079.90xx.xxxx
70:7B:E8:xx:xx:xx	70-7B-E8-xx-xx-xx	707B.E8xx.xxxx
70:8A:09:xx:xx:xx	70-8A-09-xx-xx-xx	708A.09xx.xxxx
