18:E7:F4:xx:xx:xx	18-E7-F4-xx-xx-xx	18E7.F4xx.xxxx
18:EE:69:xx:xx:xx	18-EE-69-xx-xx-xx	18EE.69xx.xxxx
18:F1:D8:xx:xx:xx	18-F1-D8-xx-xx-xx	18F1.D8xx.xxxx
18:F6:43:xx:xx:xx	18-F6-43-xx-xx-xx	18F6.43xx.xxxx
1C:1A:C0:xx:xx:xx	1C-1A-C0-xx-xx-xx	1C1A.C0xx.xxxx
1C:36:BB:xx:xx:xx	1C-36-BB-xx-xx-xx	1C36.BBxx.xxxx
1C:5C:F2:xx:xx:xx	1C-5C-F2-xx-xx-xx	1C5C.F2xx.xxxx
1C:91:48:xx:xx:xx	1C-91-48-xx-xx-xx	1C91.48xx.xxxx
1C:9E:46:xx:xx:xx	1C-9E-46-xx-xx-xx	1C9E.46xx.xxxx
1C:AB:A7:xx:xx:xx	1C-AB-A7-xx-xx-xx	1CAB.A7xx.xxxx
1C:E6:2B:xx:xx:xx	1C-E6-2B-xx-xx-xx	1CE6.2Bxx.xxxx
20:3C:AE:xx:xx:xx	20-3C-AE-xx-xx-xx	203C.AExx.xxxx
20:76:8F:xx:xx:xx	20-76-8F-xx-xx-xx	2076.8Fxx.xxxx
20:78:F0:xx:xx:xx	20-78-F0-xx-xx-xx	2078.F0xx.xxxx
20:7D:74:xx:xx:xx	20-7D-74-xx-xx-xx	207D.74xx.xxxx
20:9B:CD:xx:xx:xx	20-9B-CD-xx-xx-xx	209B.CDxx.xxxx
20:A2:E4:xx:xx:xx	20-A2-E4-xx-xx-xx	20A2.E4xx.xxxx
20:AB:37:xx:xx:xx	20-AB-37-xx-xx-xx	20AB.37xx.xxxx
20:C9:D0:xx:xx:xx	20-C9-D0-xx-xx-xx	20C9.D0xx.xxxx
20:EE:28:xx:xx:xx	20-EE-28-xx-xx-xx	20EE.28xx.xxxx
24:1B:7A:xx:xx:xx	24-1B-7A-xx-xx-xx	241B.7Axx.xxxx
24:1E:EB:xx:xx:xx	24-1E-EB-xx-xx-xx	241E.EBxx.xxxx
24:24:0E:xx:xx:xx	24-24-0E-xx-xx-xx	2424.0Exx.xxxx
24:5B:A7:xx:xx:xx	24-5B-A7-xx-xx-xx	245B.A7xx.xxxx
24:A0:74:xx:xx:xx	24-A0-74-xx-xx-xx	24A0.74xx.xxxx
