CC:C5:E5:xx:xx:xx	CC-C5-E5-xx-xx-xx	CCC5.E5xx.xxxx
D0:43:1E:xx:xx:xx	D0-43-1E-xx-xx-xx	D043.1Exx.xxxx
D0:67:E5:xx:xx:xx	D0-67-E5-xx-xx-xx	D067.E5xx.xxxx
D0:94:66:xx:xx:xx	D0-94-66-xx-xx-xx	D094.66xx.xxxx
D4:81:D7:xx:xx:xx	D4-81-D7-xx-xx-xx	D481.D7xx.xxxx
D4:AE:52:xx:xx:xx	D4-AE-52-xx-xx-xx	D4AE.52xx.xxxx
D4:BE:D9:xx:xx:xx	D4-BE-D9-xx-xx-xx	D4BE.D9xx.xxxx
D8:9E:F3:xx:xx:xx	D8-9E-F3-xx-xx-xx	D89E.F3xx.xxxx
D8:D0:90:xx:xx:xx	D8-D0-90-xx-xx-xx	D8D0.90xx.xxxx
DC:F4:01:xx:xx:xx	DC-F4-01-xx-xx-xx	DCF4.01xx.xxxx
E0:D8:48:xx:xx:xx	E0-D8-48-xx-xx-xx	E0D8.48xx.xxxx
E0:DB:55:xx:xx:xx	E0-DB-55-xx-xx-xx	E0DB.55xx.xxxx
E4:43:4B:xx:xx:xx	E4-43-4B-xx-xx-xx	E443.4Bxx.xxxx
E4:B9:7A:xx:xx:xx	E4-B9-7A-xx-xx-xx	E4B9.7Axx.xxxx
E4:F0:04:xx:xx:xx	E4-F0-04-xx-xx-xx	E4F0.04xx.xxxx
EC:F4:BB:xx:xx:xx	EC-F4-BB-xx-xx-xx	ECF4.BBxx.xxxx
F0:1F:AF:xx:xx:xx	F0-1F-AF-xx-xx-xx	F01F.AFxx.xxxx
F0:4D:A2:xx:xx:xx	F0-4D-A2-xx-xx-xx	F04D.A2xx.xxxx
F0:D4:E2:xx:xx:xx	F0-D4-E2-xx-xx-xx	F0D4.E2xx.xxxx
F4:02:70:xx:xx:xx	F4-02-70-xx-xx-xx	F402.70xx.xxxx
F4:8E:38:xx:xx:xx	F4-8E-38-xx-xx-xx	F48E.38xx.xxxx
F8:B1:56:xx:xx:xx	F8-B1-56-xx-xx-xx	F8B1.56xx.xxxx
F8:BC:12:xx:xx:xx	F8-BC-12-xx-xx-xx	F8BC.12xx.xxxx
F8:CA:B8:xx:xx:xx	F8-CA-B8-xx-xx-xx	F8CA.B8xx.xxxx
F8:DB:88:xx:xx:xx	F8-DB-88-xx-xx-xx	F8DB.88xx.xxxx
