50:E0:EF:xx:xx:xx	50-E0-EF-xx-xx-xx	50E0.EFxx.xxxx
54:44:08:xx:xx:xx	54-44-08-xx-xx-xx	5444.08xx.xxxx
54:79:75:xx:xx:xx	54-79-75-xx-xx-xx	5479.75xx.xxxx
54:FA:96:xx:xx:xx	54-FA-96-xx-xx-xx	54FA.96xx.xxxx
5C:57:C8:xx:xx:xx	5C-57-C8-xx-xx-xx	5C57.C8xx.xxxx
60:A8:FE:xx:xx:xx	60-A8-FE-xx-xx-xx	60A8.FExx.xxxx
6C:9B:02:xx:xx:xx	6C-9B-02-xx-xx-xx	6C9B.02xx.xxxx
6C:A7:80:xx:xx:xx	6C-A7-80-xx-xx-xx	6CA7.80xx.xxxx
6C:E9:07:xx:xx:xx	6C-E9-07-xx-xx-xx	6CE9.07xx.xxxx
70:25:26:xx:xx:xx	70-25-26-xx-xx-xx	7025.26xx.xxxx
70:8D:09:xx:xx:xx	70-8D-09-xx-xx-xx	708D.09xx.xxxx
78:2E:EF:xx:xx:xx	78-2E-EF-xx-xx-xx	782E.EFxx.xxxx
78:92:3E:xx:xx:xx	78-92-3E-xx-xx-xx	7892.3Exx.xxxx
78:CA:04:xx:xx:xx	78-CA-04-xx-xx-xx	78CA.04xx.xxxx
78:F9:B4:xx:xx:xx	78-F9-B4-xx-xx-xx	78F9.B4xx.xxxx
7C:41:A2:xx:xx:xx	7C-41-A2-xx-xx-xx	7C41.A2xx.xxxx
80:50:1B:xx:xx:xx	80-50-1B-xx-xx-xx	8050.1Bxx.xxxx
84:26:2B:xx:xx:xx	84-26-2B-xx-xx-xx	8426.2Bxx.xxxx
84:69:91:xx:xx:xx	84-69-91-xx-xx-xx	8469.91xx.xxxx
84:DB:FC:xx:xx:xx	84-DB-FC-xx-xx-xx	84DB.FCxx.xxxx
88:44:F6:xx:xx:xx	88-44-F6-xx-xx-xx	8844.F6xx.xxxx
8C:90:D3:xx:xx:xx	8C-90-D3-xx-xx-xx	8C90.D3xx.xxxx
8C:F7:73:xx:xx:xx	8C-F7-73-xx-xx-xx	8CF7.73xx.xxxx
90:3A:A0:xx:xx:xx	90-3A-A0-xx-xx-xx	903A.A0xx.xxxx
90:CF:15:xx:xx:xx	90-CF-15-xx-xx-xx	90CF.15xx.xxxx
94:00:70:xx:xx:xx	94-00-70-xx-xx-xx	9400.70xx.xxxx
94:20:53:xx:xx:xx	94-20-53-xx-xx-xx	9420.53xx.xxxx
94:3A:F0:xx:xx:xx	94-3A-F0-xx-xx-xx	943A.F0xx.xxxx
94:B8:19:xx:xx:xx	94-B8-19-xx-xx-xx	94B8.19xx.xxxx
94:E9:8C:xx:xx:xx	94-E9-8C-xx-xx-xx	94E9.8Cxx.xxxx
98:B0:39:xx:xx:xx	98-B0-39-xx-xx-xx	98B0.39xx.xxxx
9C:18:74:xx:xx:xx	9C-18-74-xx-xx-xx	9C18.74xx.xxxx
9C:4A:7B:xx:xx:xx	9C-4A-7B-xx-xx-xx	9C4A.7Bxx.xxxx
9C:CA:D9:xx:xx:xx	9C-CA-D9-xx-xx-xx	9CCA.D9xx.xxxx
A0:4E:04:xx:xx:xx	A0-4E-04-xx-xx-xx	A04E.04xx.xxxx
A0:71:A9:xx:xx:xx	A0-71-A9-xx-xx-xx	A071.A9xx.xxxx
A0:F4:19:xx:xx:xx	A0-F4-19-xx-xx-xx	A0F4.19xx.xxxx
A4:77:60:xx:xx:xx	A4-77-60-xx-xx-xx	A477.60xx.xxxx
A4:7B:2C:xx:xx:xx	A4-7B-2C-xx-xx-xx	A47B.2Cxx.xxxx
A4:81:EE:xx:xx:xx	A4-81-EE-xx-xx-xx	A481.EExx.xxxx
A4:92:CB:xx:xx:xx	A4-92-CB-xx-xx-xx	A492.CBxx.xxxx
A4:E7:31:xx:xx:xx	A4-E7-31-xx-xx-xx	A4E7.31xx.xxxx
A8:44:81:xx:xx:xx	A8-44-81-xx-xx-xx	A844.81xx.xxxx
A8:7B:39:xx:xx:xx	A8-7B-39-xx-xx-xx	A87B.39xx.xxxx
A8:7E:33:xx:xx:xx	A8-7E-33-xx-xx-xx	A87E.33xx.xxxx
A8:E0:18:xx:xx:xx	A8-E0-18-xx-xx-xx	A8E0.18xx.xxxx
AC:81:F3:xx:xx:xx	AC-81-F3-xx-xx-xx	AC81.F3xx.xxxx
AC:8F:F8:xx:xx:xx	AC-8F-F8-xx-xx-xx	AC8F.F8xx.xxxx
AC:93:2F:xx:xx:xx	AC-93-2F-xx-xx-xx	AC93.2Fxx.xxxx
B0:35:8D:xx:xx:xx	B0-35-8D-xx-xx-xx	B035.8Dxx.xxxx
B0:5C:E5:xx:xx:xx	B0-5C-E5-xx-xx-xx	B05C.E5xx.xxxx
B0:70:0D:xx:xx:xx	B0-70-0D-xx-xx-xx	B070.0Dxx.xxxx
B0:75:4D:xx:xx:xx	B0-75-4D-xx-xx-xx	B075.4Dxx.xxxx
BC:52:B4:xx:xx:xx	BC-52-B4-xx-xx-xx	BC52.B4xx.xxxx
BC:6B:4D:xx:xx:xx	BC-6B-4D-xx-xx-xx	BC6B.4Dxx.xxxx
BC:8D:0E:xx:xx:xx	BC-8D-0E-xx-xx-xx	BC8D.0Exx.xxxx
BC:C6:DB:xx:xx:xx	BC-C6-DB-xx-xx-xx	BCC6.DBxx.xxxx
C0:38:F9:xx:xx:xx	C0-38-F9-xx-xx-xx	C038.F9xx.xxxx
C0:41:21:xx:xx:xx	C0-41-21-xx-xx-xx	C041.21xx.xxxx
C0:64:C6:xx:xx:xx	C0-64-C6-xx-xx-xx	C064.C6xx.xxxx
C4:08:4A:xx:xx:xx	C4-08-4A-xx-xx-xx	C408.4Axx.xxxx
C8:3D:97:xx:xx:xx	C8-3D-97-xx-xx-xx	C83D.97xx.xxxx
C8:97:9F:xx:xx:xx	C8-97-9F-xx-xx-xx	C897.9Fxx.xxxx
C8:D1:0B:xx:xx:xx	C8-D1-0B-xx-xx-xx	C8D1.0Bxx.xxxx
C8:DF:7C:xx:xx:xx	C8-DF-7C-xx-xx-xx	C8DF.7Cxx.xxxx
CC:66:B2:xx:xx:xx	CC-66-B2-xx-xx-xx	CC66.B2xx.xxxx
CC:89:FD:xx:xx:xx	CC-89-FD-xx-xx-xx	CC89.FDxx.xxxx
D0:DB:32:xx:xx:xx	D0-DB-32-xx-xx-xx	D0DB.32xx.xxxx
