00:0D:66:xx:xx:xx	00-0D-66-xx-xx-xx	000D.66xx.xxxx
00:0D:BC:xx:xx:xx	00-0D-BC-xx-xx-xx	000D.BCxx.xxxx
00:0D:BD:xx:xx:xx	00-0D-BD-xx-xx-xx	000D.BDxx.xxxx
00:0D:EC:xx:xx:xx	00-0D-EC-xx-xx-xx	000D.ECxx.xxxx
00:0D:ED:xx:xx:xx	00-0D-ED-xx-xx-xx	000D.EDxx.xxxx
00:0E:08:xx:xx:xx	00-0E-08-xx-xx-xx	000E.08xx.xxxx
00:0E:38:xx:xx:xx	00-0E-38-xx-xx-xx	000E.38xx.xxxx
00:0E:39:xx:xx:xx	00-0E-39-xx-xx-xx	000E.39xx.xxxx
00:0E:83:xx:xx:xx	00-0E-83-xx-xx-xx	000E.83xx.xxxx
00:0E:84:xx:xx:xx	00-0E-84-xx-xx-xx	000E.84xx.xxxx
00:0E:D6:xx:xx:xx	00-0E-D6-xx-xx-xx	000E.D6xx.xxxx
00:0E:D7:xx:xx:xx	00-0E-D7-xx-xx-xx	000E.D7xx.xxxx
00:0F:23:xx:xx:xx	00-0F-23-xx-xx-xx	000F.23xx.xxxx
00:0F:24:xx:xx:xx	00-0F-24-xx-xx-xx	000F.24xx.xxxx
00:0F:34:xx:xx:xx	00-0F-34-xx-xx-xx	000F.34xx.xxxx
00:0F:35:xx:xx:xx	00-0F-35-xx-xx-xx	000F.35xx.xxxx
00:0F:66:xx:xx:xx	00-0F-66-xx-xx-xx	000F.66xx.xxxx
00:0F:8F:xx:xx:xx	00-0F-8F-xx-xx-xx	000F.8Fxx.xxxx
00:0F:90:xx:xx:xx	00-0F-90-xx-xx-xx	000F.90xx.xxxx
00:0F:F7:xx:xx:xx	00-0F-F7-xx-xx-xx	000F.F7xx.xxxx
00:0F:F8:xx:xx:xx	00-0F-F8-xx-xx-xx	000F.F8xx.xxxx
00:10:07:xx:xx:xx	00-10-07-xx-xx-xx	0010.07xx.xxxx
00:10:0B:xx:xx:xx	00-10-0B-xx-xx-xx	0010.0Bxx.xxxx
00:10:0D:xx:xx:xx	00-10-0D-xx-xx-xx	0010.0Dxx.xxxx
00:10:11:xx:xx:xx	00-10-11-xx-xx-xx	0010.11xx.xxxx
00:10:14:xx:xx:xx	00-10-14-xx-xx-xx	0010.14xx.xxxx
00:10:1F:xx:xx:xx	00-10-1F-xx-xx-xx	0010.1Fxx.xxxx
00:10:29:xx:xx:xx	00-10-29-xx-xx-xx	0010.29xx.xxxx
00:10:2F:xx:xx:xx	00-10-2F-xx-xx-xx	0010.2Fxx.xxxx
00:10:54:xx:xx:xx	00-10-54-xx-xx-xx	0010.54xx.xxxx
00:10:79:xx:xx:xx	00-10-79-xx-xx-xx	0010.79xx.xxxx
00:10:7B:xx:xx:xx	00-10-7B-xx-xx-xx	0010.7Bxx.xxxx
00:10:A6:xx:xx:xx	00-10-A6-xx-xx-xx	0010.A6xx.xxxx
00:10:F6:xx:xx:xx	00-10-F6-xx-xx-xx	0010.F6xx.xxxx
00:10:FF:xx:xx:xx	00-10-FF-xx-xx-xx	0010.FFxx.xxxx
00:11:20:xx:xx:xx	00-11-20-xx-xx-xx	0011.20xx.xxxx
00:11:21:xx:xx:xx	00-11-21-xx-xx-xx	0011.21xx.xxxx
00:11:5C:xx:xx:xx	00-11-5C-xx-xx-xx	0011.5Cxx.xxxx
00:11:5D:xx:xx:xx	00-11-5D-xx-xx-xx	0011.5Dxx.xxxx
00:11:92:xx:xx:xx	00-11-92-xx-xx-xx	0011.92xx.xxxx
00:11:93:xx:xx:xx	00-11-93-xx-xx-xx	0011.93xx.xxxx
00:11:BB:xx:xx:xx	00-11-BB-xx-xx-xx	0011.BBxx.xxxx
00:11:BC:xx:xx:xx	00-11-BC-xx-xx-xx	0011.BCxx.xxxx
00:12:00:xx:xx:xx	00-12-00-xx-xx-xx	0012.00xx.xxxx
00:12:01:xx:xx:xx	00-12-01-xx-xx-xx	0012.01xx.xxxx
00:12:17:xx:xx:xx	00-12-17-xx-xx-xx	0012.17xx.xxxx
00:12:43:xx:xx:xx	00-12-43-xx-xx-xx	0012.43xx.xxxx
00:12:44:xx:xx:xx	00-12-44-xx-xx-xx	0012.44xx.xxxx
00:12:7F:xx:xx:xx	00-12-7F-xx-xx-xx	0012.7Fxx.xxxx
00:12:80:xx:xx:xx	00-12-80-xx-xx-xx	0012.80xx.xxxx
00:12:D9:xx:xx:xx	00-12-D9-xx-xx-xx	0012.D9xx.xxxx
00:12:DA:xx:xx:xx	00-12-DA-xx-xx-xx	0012.DAxx.xxxx
00:13:10:xx:xx:xx	00-13-10-xx-xx-xx	0013.10xx.xxxx
00:13:19:xx:xx:xx	00-13-19-xx-xx-xx	0013.19xx.xxxx
00:13:1A:xx:xx:xx	00-13-1A-xx-xx-xx	0013.1Axx.xxxx
00:13:5F:xx:xx:xx	00-13-5F-xx-xx-xx	0013.5Fxx.xxxx
00:13:60:xx:xx:xx	00-13-60-xx-xx-xx	0013.60xx.xxxx
00:13:7F:xx:xx:xx	00-13-7F-xx-xx-xx	0013.7Fxx.xxxx
00:13:80:xx:xx:xx	00-13-80-xx-xx-xx	0013.80xx.xxxx
00:13:C3:xx:xx:xx	00-13-C3-xx-xx-xx	0013.C3xx.xxxx
00:13:C4:xx:xx:xx	00-13-C4-xx-xx-xx	0013.C4xx.xxxx
00:14:1B:xx:xx:xx	00-14-1B-xx-xx-xx	0014.1Bxx.xxxx
00:14:1C:xx:xx:xx	00-14-1C-xx-xx-xx	0014.1Cxx.xxxx
00:14:69:xx:xx:xx	00-14-69-xx-xx-xx	0014.69xx.xxxx
00:14:6A:xx:xx:xx	00-14-6A-xx-xx-xx	0014.6Axx.xxxx
00:14:A8:xx:xx:xx	00-14-A8-xx-xx-xx	0014.A8xx.xxxx
00:14:A9:xx:xx:xx	00-14-A9-xx-xx-xx	0014.A9xx.xxxx
00:14:BF:xx:xx:xx	00-14-BF-xx-xx-xx	0014.BFxx.xxxx
