78:1F:DB:xx:xx:xx	78-1F-DB-xx-xx-xx	781F.DBxx.xxxx
78:23:27:xx:xx:xx	78-23-27-xx-xx-xx	7823.27xx.xxxx
78:25:AD:xx:xx:xx	78-25-AD-xx-xx-xx	7825.ADxx.xxxx
78:40:E4:xx:xx:xx	78-40-E4-xx-xx-xx	7840.E4xx.xxxx
78:47:1D:xx:xx:xx	78-47-1D-xx-xx-xx	7847.1Dxx.xxxx
78:52:1A:xx:xx:xx	78-52-1A-xx-xx-xx	7852.1Axx.xxxx
78:59:5E:xx:xx:xx	78-59-5E-xx-xx-xx	7859.5Exx.xxxx
78:9E:D0:xx:xx:xx	78-9E-D0-xx-xx-xx	789E.D0xx.xxxx
78:A8:73:xx:xx:xx	78-A8-73-xx-xx-xx	78A8.73xx.xxxx
78:AB:BB:xx:xx:xx	78-AB-BB-xx-xx-xx	78AB.BBxx.xxxx
78:BD:BC:xx:xx:xx	78-BD-BC-xx-xx-xx	78BD.BCxx.xxxx
78:C3:E9:xx:xx:xx	78-C3-E9-xx-xx-xx	78C3.E9xx.xxxx
78:D6:F0:xx:xx:xx	78-D6-F0-xx-xx-xx	78D6.F0xx.xxxx
78:F7:BE:xx:xx:xx	78-F7-BE-xx-xx-xx	78F7.BExx.xxxx
7C:0B:C6:xx:xx:xx	7C-0B-C6-xx-xx-xx	7C0B.C6xx.xxxx
7C:1C:68:xx:xx:xx	7C-1C-68-xx-xx-xx	7C1C.68xx.xxxx
7C:23:02:xx:xx:xx	7C-23-02-xx-xx-xx	7C23.02xx.xxxx
7C:2E:DD:xx:xx:xx	7C-2E-DD-xx-xx-xx	7C2E.DDxx.xxxx
7C:38:AD:xx:xx:xx	7C-38-AD-xx-xx-xx	7C38.ADxx.xxxx
