3C:6A:A7:xx:xx:xx	3C-6A-A7-xx-xx-xx	3C6A.A7xx.xxxx
3C:A9:F4:xx:xx:xx	3C-A9-F4-xx-xx-xx	3CA9.F4xx.xxxx
3C:F0:11:xx:xx:xx	3C-F0-11-xx-xx-xx	3CF0.11xx.xxxx
3C:F8:62:xx:xx:xx	3C-F8-62-xx-xx-xx	3CF8.62xx.xxxx
3C:FD:FE:xx:xx:xx	3C-FD-FE-xx-xx-xx	3CFD.FExx.xxxx
40:25:C2:xx:xx:xx	40-25-C2-xx-xx-xx	4025.C2xx.xxxx
40:A3:CC:xx:xx:xx	40-A3-CC-xx-xx-xx	40A3.CCxx.xxxx
44:03:2C:xx:xx:xx	44-03-2C-xx-xx-xx	4403.2Cxx.xxxx
44:85:00:xx:xx:xx	44-85-00-xx-xx-xx	4485.00xx.xxxx
48:45:20:xx:xx:xx	48-45-20-xx-xx-xx	4845.20xx.xxxx
48:51:B7:xx:xx:xx	48-51-B7-xx-xx-xx	4851.B7xx.xxxx
48:89:E7:xx:xx:xx	48-89-E7-xx-xx-xx	4889.E7xx.xxxx
48:A4:72:xx:xx:xx	48-A4-72-xx-xx-xx	48A4.72xx.xxxx
48:F1:7F:xx:xx:xx	48-F1-7F-xx-xx-xx	48F1.7Fxx.xxxx
4C:34:88:xx:xx:xx	4C-34-88-xx-xx-xx	4C34.88xx.xxxx
4C:79:BA:xx:xx:xx	4C-79-BA-xx-xx-xx	4C79.BAxx.xxxx
4C:80:93:xx:xx:xx	4C-80-93-xx-xx-xx	4C80.93xx.xxxx
4C:EB:42:xx:xx:xx	4C-EB-42-xx-xx-xx	4CEB.42xx.xxxx
50:2D:A2:xx:xx:xx	50-2D-A2-xx-xx-xx	502D.A2xx.xxxx
50:76:AF:xx:xx:xx	50-76-AF-xx-xx-xx	5076.AFxx.xxxx
58:91:CF:xx:xx:xx	58-91-CF-xx-xx-xx	5891.CFxx.xxxx
58:94:6B:xx:xx:xx	58-94-6B-xx-xx-xx	5894.6Bxx.xxxx
58:A8:39:xx:xx:xx	58-A8-39-xx-xx-xx	58A8.39xx.xxxx
58:FB:84:xx:xx:xx	58-FB-84-xx-xx-xx	58FB.84xx.xxxx
5C:51:4F:xx:xx:xx	5C-51-4F-xx-xx-xx	5C51.4Fxx.xxxx
5C:5F:67:xx:xx:xx	5C-5F-67-xx-xx-xx	5C5F.67xx.xxxx
5C:C5:D4:xx:xx:xx	5C-C5-D4-xx-xx-xx	5CC5.D4xx.xxxx
5C:D2:E4:xx:xx:xx	5C-D2-E4-xx-xx-xx	5CD2.E4xx.xxxx
5C:E0:C5:xx:xx:xx	5C-E0-C5-xx-xx-xx	5CE0.C5xx.xxxx
60:36:DD:xx:xx:xx	60-36-DD-xx-xx-xx	6036.DDxx.xxxx
60:57:18:xx:xx:xx	60-57-18-xx-xx-xx	6057.18xx.xxxx
60:67:20:xx:xx:xx	60-67-20-xx-xx-xx	6067.20xx.xxxx
60:6C:66:xx:xx:xx	60-6C-66-xx-xx-xx	606C.66xx.xxxx
60:F6:77:xx:xx:xx	60-F6-77-xx-xx-xx	60F6.77xx.xxxx
64:32:A8:xx:xx:xx	64-32-A8-xx-xx-xx	6432.A8xx.xxxx
64:4C:36:xx:xx:xx	64-4C-36-xx-xx-xx	644C.36xx.xxxx
64:5D:86:xx:xx:xx	64-5D-86-xx-xx-xx	645D.86xx.xxxx
64:80:99:xx:xx:xx	64-80-99-xx-xx-xx	6480.99xx.xxxx
64:D4:DA:xx:xx:xx	64-D4-DA-xx-xx-xx	64D4.DAxx.xxxx
68:05:CA:xx:xx:xx	68-05-CA-xx-xx-xx	6805.CAxx.xxxx
68:07:15:xx:xx:xx	68-07-15-xx-xx-xx	6807.15xx.xxxx
68:17:29:xx:xx:xx	68-17-29-xx-xx-xx	6817.29xx.xxxx
68:5D:43:xx:xx:xx	68-5D-43-xx-xx-xx	685D.43xx.xxxx
68:EC:C5:xx:xx:xx	68-EC-C5-xx-xx-xx	68EC.C5xx.xxxx
6C:29:95:xx:xx:xx	6C-29-95-xx-xx-xx	6C29.95xx.xxxx
6C:88:14:xx:xx:xx	6C-88-14-xx-xx-xx	6C88.14xx.xxxx
6C:A1:00:xx:xx:xx	6C-A1-00-xx-xx-xx	6CA1.00xx.xxxx
70:1C:E7:xx:xx:xx	70-1C-E7-xx-xx-xx	701C.E7xx.xxxx
74:70:FD:xx:xx:xx	74-70-FD-xx-xx-xx	7470.FDxx.xxxx
74:E5:0B:xx:xx:xx	74-E5-0B-xx-xx-xx	74E5.0Bxx.xxxx
74:E5:F9:xx:xx:xx	74-E5-F9-xx-xx-xx	74E5.F9xx.xxxx
78:0C:B8:xx:xx:xx	78-0C-B8-xx-xx-xx	780C.B8xx.xxxx
78:92:9C:xx:xx:xx	78-92-9C-xx-xx-xx	7892.9Cxx.xxxx
78:FF:57:xx:xx:xx	78-FF-57-xx-xx-xx	78FF.57xx.xxxx
7C:2A:31:xx:xx:xx	7C-2A-31-xx-xx-xx	7C2A.31xx.xxxx
7C:5C:F8:xx:xx:xx	7C-5C-F8-xx-xx-xx	7C5C.F8xx.xxxx
7C:67:A2:xx:xx:xx	7C-67-A2-xx-xx-xx	7C67.A2xx.xxxx
7C:76:35:xx:xx:xx	7C-76-35-xx-xx-xx	7C76.35xx.xxxx
7C:7A:91:xx:xx:xx	7C-7A-91-xx-xx-xx	7C7A.91xx.xxxx
7C:B0:C2:xx:xx:xx	7C-B0-C2-xx-xx-xx	7CB0.C2xx.xxxx
7C:CC:B8:xx:xx:xx	7C-CC-B8-xx-xx-xx	7CCC.B8xx.xxxx
80:00:0B:xx:xx:xx	80-00-0B-xx-xx-xx	8000.0Bxx.xxxx
80:19:34:xx:xx:xx	80-19-34-xx-xx-xx	8019.34xx.xxxx
80:86:F2:xx:xx:xx	80-86-F2-xx-xx-xx	8086.F2xx.xxxx
80:9B:20:xx:xx:xx	80-9B-20-xx-xx-xx	809B.20xx.xxxx
